Silindokuhle,061 660 5421,Male,Cell C
Nonhlanhla,062 660 5421,Female,Cell C
Bongi,063 660 5421,Female,Cell C
Bongane,064 660 5421,Male,Cell C
Geoff,065 660 5421,Male,Cell C
Chris,066 660 5421,Male,Vodacom
Beauty,067 660 5421,Female,Vodacom
Elias,068 660 5421,Male,Vodacom
Queen,069 660 5421,Female,Vodacom
Kelly,070 660 5421,Female,FNB
Macy,071 660 5421,Female,FNB
Nansie,072 660 5421,Female,MTN
Nesi,073 660 5421,Female,MTN
Siya,074 660 5421,Male,MTN
Quency,075 660 5421,Male,MTN
Prince,076 660 5421,Male,MTN
Princess,077 660 5421,Female,MTN
Paul,078 660 5421,Male,MTN
Sbuda,079 660 5421,Male,MTN
Remember,080 660 5421,Male,MTN
Dodo,081 660 5421,Female,MTN
Nipi,082 660 5421,Male,MTN
Sthe,083 660 5421,Male,MTN
Promise,084 660 5421,Female,Telkom
Thobeka,085 660 5421,Female,Telkom
Wendy,078 453 2115,Female,Telkom
Rory,072 564 3421,Male,FNB
Ben,064 232 0098,Male,Cell C
Christopher,072 523 6328,Male,Cell C
Presh,078 222 7654,Female,Cell C
Pri,074 223 3412,Male,FNB
Peter,071 123 7761,Male,Cell C
